City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Cidreira,BR,2022-10-12 00:06:12,-30.1811,-50.2056,64.22,97,100,3.69
116,Sao Filipe,CV,2022-10-12 00:06:13,14.8961,-24.4956,79.86,77,91,5.77
117,Tuktoyaktuk,CA,2022-10-12 00:06:13,69.4541,-133.0374,31.08,87,88,12.93
118,Dunedin,NZ,2022-10-12 00:04:23,-45.8742,170.5036,53.8,64,60,4.85
119,Luderitz,NA,2022-10-11 23:59:38,-26.6481,15.1594,66.96,55,5,10.07
120,Karratha,AU,2022-10-12 00:06:14,-20.7377,116.8463,76.89,30,0,17.25
121,Bhunya,SZ,2022-10-12 00:06:15,-26.55,31.0167,66.18,70,48,4.81
122,Barrow,US,2022-10-12 00:01:22,71.2906,-156.7887,30.22,93,100,23.02
123,Rojhan,PK,2022-10-12 00:06:16,28.6868,69.9534,75.15,24,0,5.08
124,Kautokeino,NO,2022-10-12 00:06:16,69.0125,23.0412,35.71,83,77,12.71
125,Tunduma,TZ,2022-10-12 00:06:17,-9.3,32.7667,59.79,55,26,9.22
126,Tigil,RU,2022-10-12 00:06:17,57.8,158.6667,39.76,82,100,15.03
127,Derzhavinsk,KZ,2022-10-12 00:06:18,51.1,66.3167,44.38,49,33,5.06
128,Omboue,GA,2022-10-12 00:06:18,-1.5746,9.2618,76.19,90,99,6.06
129,Oktyabrskiy,RU,2022-10-12 00:06:19,54.4815,53.471,49.62,56,100,3.69
130,Qaanaaq,GL,2022-10-12 00:02:21,77.484,-69.3632,6.04,61,53,7.52
131,Igarka,RU,2022-10-12 00:06:19,67.4667,86.5833,35.17,92,100,9.15
132,Ribeira Grande,PT,2022-10-12 00:06:20,38.5167,-28.7,69.78,90,47,1.99
133,Madinat Sittah Uktubar,EG,2022-10-12 00:07:20,29.8167,31.05,71.2,77,1,10.38
134,Ryotsu,JP,2022-10-12 00:07:21,38.0833,138.4333,62.82,59,100,3.69
135,Fare,PF,2022-10-12 00:07:21,-16.7,-151.0167,77.97,76,9,16.93
136,Winnemucca,US,2022-10-12 00:07:22,40.973,-117.7357,75.25,17,0,6.91
137,Shubarkuduk,KZ,2022-10-12 00:07:23,49.1447,56.4872,51.51,35,100,8.23
138,La Palma,US,2022-10-12 00:07:24,33.8464,-118.0467,81.91,79,75,6.91
139,Castro,BR,2022-10-12 00:07:24,-24.7911,-50.0119,61.63,93,80,2.46
140,Necochea,AR,2022-10-12 00:07:25,-38.5473,-58.7368,53.87,54,10,13.96
141,Suchitlan,MX,2022-10-12 00:07:25,19.3667,-103.7167,74.19,100,75,0.0
142,Bowen,AU,2022-10-12 00:07:25,-20.0167,148.2333,77.95,62,41,19.08
143,Aksu,CN,2022-10-12 00:07:26,41.1231,80.2644,48.99,39,0,7.18
144,Kamenka,RU,2022-10-12 00:07:27,51.3223,42.7678,47.95,95,99,8.9
145,Chanute,US,2022-10-12 00:07:27,37.6792,-95.4572,73.51,56,0,17.27
146,Berdigestyakh,RU,2022-10-12 00:07:28,62.0989,126.6992,21.51,93,94,5.01
147,Sitka,US,2022-10-12 00:07:28,57.0531,-135.33,51.69,82,100,9.22
148,Severo-Kurilsk,RU,2022-10-12 00:02:25,50.6789,156.125,51.1,83,73,22.12
149,Swinoujscie,PL,2022-10-12 00:07:29,53.9105,14.2471,51.03,84,33,10.49
150,Lorengau,PG,2022-10-12 00:07:30,-2.0226,147.2712,84.85,52,100,6.29
151,Hay River,CA,2022-10-12 00:07:30,60.8156,-115.7999,34.47,63,100,24.58
152,Lebu,CL,2022-10-12 00:07:31,-37.6167,-73.65,52.09,89,84,2.95
153,Jamestown,US,2022-10-12 00:07:31,42.097,-79.2353,60.71,53,0,5.75
154,Kaitangata,NZ,2022-10-12 00:07:32,-46.2817,169.8464,53.6,45,31,5.53
155,Naica,MX,2022-10-12 00:06:51,27.85,-105.4833,77.36,32,0,2.95
156,Zhezkazgan,KZ,2022-10-12 00:07:32,47.8043,67.7144,43.72,45,9,9.35
157,Grand-Santi,GF,2022-10-12 00:07:33,4.25,-54.3833,73.81,90,81,3.27
158,Hengshui,CN,2022-10-12 00:07:33,37.7322,115.7011,52.59,44,1,8.77
159,Cascais,PT,2022-10-12 00:07:34,38.6979,-9.4215,66.51,96,0,17.0
160,East London,ZA,2022-10-12 00:02:14,-33.0153,27.9116,68.11,71,91,11.12
161,Erenhot,CN,2022-10-12 00:07:35,43.6475,111.9767,45.82,26,66,9.4
162,Sorland,NO,2022-10-12 00:07:35,67.667,12.6934,40.86,72,100,31.29
163,Nantucket,US,2022-10-12 00:07:35,41.2835,-70.0995,57.31,82,0,6.91
